HomeWin,HomeNumWins,VisitorNumWins,HomeWins2019,VisitorWins2019,HomeLosses2019,VisitorLosses2019,TotalHomeWins2019,TotalVisitorWins2019,Net Home Season Score,Net Away Season Score
1,3,7,30,30,11,11,57,36,-269,-108
0,13,8,32,21,9,20,58,49,170,215
1,15,12,31,27,10,14,51,60,157,418
1,4,11,30,22,11,19,57,53,-260,174
0,10,8,22,22,19,19,37,48,220,228
0,13,4,34,14,7,27,54,33,164,-191
1,7,5,26,31,15,10,41,32,-71,-121
0,9,3,23,8,18,33,42,17,4,-287
1,8,4,24,16,17,25,33,48,243,-77
0,11,5,27,29,14,12,49,33,37,-193
0,6,7,24,30,17,11,39,36,-89,-117
1,11,6,29,21,12,20,50,53,31,-27
1,12,3,28,6,13,35,49,19,231,-271
0,7,4,25,22,16,19,39,49,-219,24
1,9,7,25,20,16,21,42,51,-44,169
0,3,12,17,27,24,14,29,60,-303,406
1,13,7,19,19,22,22,39,48,155,129
1,5,5,30,7,11,34,57,19,-248,-25
1,13,6,34,29,7,12,54,33,152,-180
0,13,8,28,26,13,15,49,58,243,154
1,4,7,19,19,22,22,33,48,-179,128
1,6,3,9,29,32,12,22,29,-50,-329
1,10,7,31,19,10,22,53,42,162,-8
1,14,7,19,20,22,21,39,51,156,168
0,3,3,25,6,16,35,36,19,-116,-283
0,4,4,22,8,19,33,32,17,-151,-275
0,6,11,30,9,11,32,57,33,-239,247
1,15,4,33,17,8,24,60,42,432,-43
1,8,4,32,15,9,26,48,41,-81,-41
0,6,5,24,7,17,34,39,19,-90,-34
0,8,14,32,15,9,26,53,37,-33,215
0,14,7,26,21,15,20,48,50,233,37
0,13,5,32,22,9,19,58,49,170,26
1,14,6,34,15,7,26,54,39,161,-92
1,6,6,21,14,20,27,33,39,-189,-221
1,5,11,19,22,22,19,33,53,-157,172
1,10,12,22,9,19,32,37,33,223,267
0,10,3,25,29,16,12,42,29,-54,-364
1,4,9,22,20,19,21,32,39,-158,157
0,7,13,9,27,32,14,22,60,-15,443
1,3,7,25,19,16,22,36,42,-122,-18
1,12,4,29,15,12,26,50,41,50,-68
0,8,6,32,7,9,34,53,19,-41,-32
0,7,9,25,21,16,20,39,49,-234,227
1,14,7,29,20,12,21,48,51,106,167
0,6,9,24,22,17,19,39,48,-97,220
1,11,8,31,20,10,21,53,54,157,166
1,9,3,32,27,9,14,48,57,-54,-259
1,13,4,32,6,9,35,58,19,169,-277
1,11,12,27,9,14,32,49,33,27,254
0,5,4,22,17,19,24,32,42,-140,-62
1,4,6,9,21,32,20,17,53,-268,-47
1,16,8,33,30,8,11,60,36,464,-115
1,11,7,22,7,19,34,37,19,236,-26
0,6,6,13,14,28,27,19,39,-297,-251
0,15,8,29,20,12,21,48,54,124,140
1,15,9,19,26,22,15,39,58,139,189
0,7,8,9,21,32,20,22,50,-36,73
1,4,3,25,27,16,14,36,57,-117,-263
1,9,7,24,19,17,22,33,42,249,-25
0,10,6,32,22,9,19,48,49,-50,32
1,6,6,24,29,17,12,39,33,-115,-176
1,14,4,26,15,15,26,48,41,238,-91
1,13,4,28,29,13,12,49,29,244,-356
1,10,9,25,20,16,21,42,39,-41,147
0,5,6,22,21,19,20,32,53,-161,-71
1,12,7,31,20,10,21,53,51,183,149
1,6,5,29,8,12,33,19,17,-36,-244
1,12,5,22,14,19,27,37,33,246,-142
0,15,6,26,29,15,12,48,33,252,-181
0,9,9,23,26,18,15,42,58,-37,181
0,11,9,25,21,16,20,42,50,-21,77
1,3,7,17,19,24,22,29,48,-359,116
0,6,7,13,22,28,19,19,49,-300,38
0,7,10,9,21,32,20,22,49,-40,247
1,5,9,22,20,19,21,32,54,-180,148
0,10,7,24,14,17,27,33,39,261,-248
0,6,4,30,15,11,26,57,41,-278,-105
1,17,4,33,16,8,25,60,48,466,-56
0,7,5,24,14,17,27,39,33,-110,-152
1,15,5,26,8,15,33,48,17,226,-252
1,16,7,19,21,22,20,39,53,127,-52
0,6,8,13,30,28,11,19,36,-315,-102
0,7,7,29,29,12,12,19,33,-28,-155
1,13,5,22,15,19,26,37,41,256,-98
0,7,7,25,19,16,22,39,48,-245,111
1,11,7,25,19,16,22,42,42,-34,-56
1,16,8,31,22,10,19,51,49,139,53
1,6,11,22,21,19,20,32,49,-166,254
0,4,9,17,20,24,21,29,54,-354,134
0,6,10,19,21,22,20,33,50,-150,90
1,10,6,24,13,17,28,33,22,258,-47
1,10,14,32,27,9,14,48,60,-65,475
1,7,3,24,27,17,14,39,57,-112,-285
0,6,5,13,15,28,26,19,41,-330,-105
0,14,7,32,21,9,20,58,53,200,-63
0,9,8,23,22,18,19,42,49,-68,46
1,7,9,21,30,20,11,33,36,-148,-87
0,7,6,29,15,12,26,19,39,-35,-99
1,14,5,22,8,19,33,37,17,263,-255
0,14,4,28,16,13,25,49,48,249,-43
0,7,10,25,26,16,15,39,58,-256,198
0,15,9,29,20,12,21,48,39,122,138
1,12,5,25,31,16,10,42,32,-22,-161
0,4,11,17,22,24,19,29,53,-362,193
0,11,10,24,20,17,21,33,54,266,142
1,6,6,19,13,22,28,33,22,-152,-55
1,13,5,29,8,12,33,50,17,92,-285
0,6,14,30,27,11,14,57,60,-298,453
0,8,4,26,6,15,35,41,19,-103,-332
1,17,11,31,21,10,20,51,49,146,234
1,5,8,25,21,16,20,36,53,-94,-61
1,12,12,27,22,14,19,49,53,54,200
1,7,4,22,29,19,12,32,29,-195,-369
0,5,6,9,14,32,27,17,33,-309,-137
1,9,10,23,20,18,21,42,39,-76,152
0,7,8,9,19,32,22,22,48,-70,108
1,8,5,21,16,20,25,33,48,-141,-28
1,7,5,29,17,12,24,19,42,-46,12
1,14,8,29,14,12,27,50,39,116,-258
0,11,15,24,15,17,26,33,37,265,293
0,8,15,24,27,17,14,39,60,-88,462
1,16,3,26,27,15,14,48,57,229,-307
1,13,9,31,30,10,11,53,36,179,-80
1,14,7,28,14,13,27,49,33,223,-125
0,8,6,26,13,15,28,41,22,-106,-81
0,13,16,27,15,14,26,49,37,75,308
1,11,7,24,20,17,21,33,51,250,157
0,15,5,34,6,7,35,54,19,143,-329
0,8,16,32,27,9,14,53,60,-75,483
1,5,10,9,20,32,21,17,39,-321,148
0,8,11,22,21,19,20,32,50,-185,133
1,10,4,23,29,18,12,42,29,-72,-379
